City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,2.16,99,100,9.23,RU,1709763764
1,scottburgh,-30.2867,30.7532,21.69,73,100,1.55,ZA,1709763764
2,grytviken,-54.2811,-36.5092,6.56,60,100,0.49,GS,1709763764
3,key west,24.5557,-81.7826,27.0,81,0,3.09,US,1709763765
4,albany,42.6001,-73.9662,10.77,94,100,0.69,US,1709763765
5,port-aux-francais,-49.35,70.2167,6.9,91,100,8.74,TF,1709763765
6,blackmans bay,-43.0167,147.3167,15.41,57,99,0.89,AU,1709763766
7,talnakh,69.4865,88.3972,-14.15,97,100,1.58,RU,1709763766
8,bonthe,7.5264,-12.505,26.06,82,13,4.49,SL,1709763767
9,udachny,66.4167,112.4,-28.35,100,100,2.37,RU,1709763767
10,carauari,-4.8828,-66.8958,28.55,76,98,0.87,BR,1709763767
11,adamstown,-25.066,-130.1015,24.27,72,73,5.89,PN,1709763768
12,odienne,9.51,-7.5692,29.27,13,50,1.41,CI,1709763768
13,ust-nera,64.5667,143.2,-25.1,100,99,1.09,RU,1709763768
14,vanimo,-2.6741,141.3028,26.62,88,95,1.86,PG,1709763769
15,tiksi,71.6872,128.8694,-28.93,100,92,1.51,RU,1709763769
16,dudinka,69.4058,86.1778,-15.18,92,99,4.02,RU,1709763769
17,avarua,-21.2078,-159.775,30.03,74,40,7.2,CK,1709763770
18,anadyr,64.75,177.4833,-16.72,78,20,4.0,RU,1709763770
19,taltal,-25.4,-70.4833,21.71,72,23,2.84,CL,1709763770
20,ust'-uda,54.1742,103.0304,-14.6,99,99,1.08,RU,1709763771
21,thompson,55.7435,-97.8558,-9.91,52,0,0.0,CA,1709763771
22,edinburgh of the seven seas,-37.0676,-12.3116,18.75,94,92,3.64,SH,1709763771
23,hermanus,-34.4187,19.2345,18.22,74,100,3.27,ZA,1709763772
24,wongsorejo,-7.9908,114.4009,26.38,87,95,0.9,ID,1709763772
25,margaret river,-33.95,115.0667,18.38,68,2,4.63,AU,1709763772
26,jamestown,42.097,-79.2353,9.73,99,100,2.24,US,1709763550
27,muisne,0.6,-80.0333,27.69,72,45,3.08,EC,1709763773
28,opuwo,-18.0607,13.84,20.71,27,64,2.47,NA,1709763773
29,cidade velha,14.9167,-23.6167,22.26,68,20,8.75,CV,1709763774
30,badger,64.8,-147.5333,-4.05,66,75,1.54,US,1709763774
31,xilin hot,43.9667,116.0333,-13.84,96,100,0.55,CN,1709763774
32,mineiros,-17.5694,-52.5511,24.39,75,75,2.39,BR,1709763775
33,katsuura,35.1333,140.3,6.92,63,100,8.78,JP,1709763775
34,bethel,41.3712,-73.414,10.99,88,100,2.57,US,1709763775
35,mingshui,36.7167,117.5,2.19,49,100,2.8,CN,1709763776
36,leteri,24.05,77.4,17.18,30,3,3.03,IN,1709763776
37,ceeldheer,3.8488,47.1806,27.38,83,7,5.01,SO,1709763776
38,seabra,-12.4186,-41.7703,21.7,85,4,1.31,BR,1709763777
39,calvinia,-31.4707,19.776,18.15,35,16,1.94,ZA,1709763777
40,puerto natales,-51.7236,-72.4875,10.15,67,94,1.63,CL,1709763778
41,hampton bays,40.869,-72.5176,8.54,97,100,5.81,US,1709763778
42,newman,37.3138,-121.0208,19.6,67,87,2.68,US,1709763779
43,tazovsky,67.4667,78.7,-17.03,96,99,4.58,RU,1709763779
44,crossett,33.1282,-91.9612,16.99,56,18,1.06,US,1709763779
45,north bend,43.4065,-124.2243,11.26,61,0,6.17,US,1709763780
46,bredasdorp,-34.5322,20.0403,17.1,75,80,2.1,ZA,1709763781
47,kaa-khem,51.6833,94.7333,-21.44,93,89,1.65,RU,1709763782
48,yellowknife,62.456,-114.3525,-12.55,88,75,4.02,CA,1709763787
49,auki,-8.7676,160.7034,28.67,77,74,0.97,SB,1709763789
50,papatowai,-46.5619,169.4708,17.5,52,27,5.16,NZ,1709763789
51,vorgashor,67.5833,63.95,-16.18,96,100,7.11,RU,1709763701
52,iqaluit,63.7506,-68.5145,-26.84,62,20,6.71,CA,1709763792
53,granger,41.7481,-86.1257,10.95,70,100,5.14,US,1709763797
54,lazaro cardenas,17.9583,-102.2,27.24,58,0,4.23,MX,1709763799
55,wailua homesteads,22.0669,-159.378,27.24,62,20,9.26,US,1709763799
56,daun,50.2,6.8333,6.66,81,90,3.6,DE,1709763800
57,tolanaro,-25.0319,46.9987,25.04,94,75,7.2,MG,1709763800
58,isafjordur,66.0755,-23.124,4.4,74,97,4.59,IS,1709763801
